program	version
R	R version 4.5.3 (2026-03-11) -- "Reassured Reassurer"
Rscript	Rscript (R) version 4.5.3 (2026-03-11)
python3	Python 3.12.3
pip	pip 26.1.2 from /opt/venv/lib/python3.12/site-packages/pip (python 3.12)
pandoc	pandoc 3.1.3
cellranger	not installed in Docker image
samtools	not installed in Docker image
bedtools	not installed in Docker image
bowtie2	not installed in Docker image
bwa	not installed in Docker image
STAR	not installed in Docker image
salmon	not installed in Docker image
kallisto	not installed in Docker image
fastqc	not installed in Docker image
multiqc	not installed in Docker image
