Package	Version	LibPath
abind	1.4-8	/usr/local/lib/R/site-library
anndataR	1.0.2	/usr/local/lib/R/site-library
AnnotationDbi	1.72.0	/usr/local/lib/R/site-library
ape	5.8-1	/usr/local/lib/R/site-library
aplot	0.2.9	/usr/local/lib/R/site-library
askpass	1.2.1	/usr/local/lib/R/site-library
assertthat	0.2.1	/usr/local/lib/R/site-library
assorthead	1.4.0	/usr/local/lib/R/site-library
backports	1.5.1	/usr/local/lib/R/site-library
base	4.5.3	/usr/local/lib/R/library
base64enc	0.1-6	/usr/local/lib/R/site-library
basilisk	1.22.0	/usr/local/lib/R/site-library
batchelor	1.26.0	/usr/local/lib/R/site-library
beachmat	2.26.0	/usr/local/lib/R/site-library
beeswarm	0.4.0	/usr/local/lib/R/site-library
BH	1.90.0-1	/usr/local/lib/R/site-library
biglm	0.9-3	/usr/local/lib/R/site-library
Biobase	2.70.0	/usr/local/lib/R/site-library
BiocGenerics	0.56.0	/usr/local/lib/R/site-library
BiocManager	1.30.27	/usr/local/lib/R/site-library
BiocNeighbors	2.4.0	/usr/local/lib/R/site-library
BiocParallel	1.44.0	/usr/local/lib/R/site-library
BiocSingular	1.26.1	/usr/local/lib/R/site-library
BiocVersion	3.22.0	/usr/local/lib/R/site-library
Biostrings	2.78.0	/usr/local/lib/R/site-library
bit	4.6.0	/usr/local/lib/R/site-library
bit64	4.8.2	/usr/local/lib/R/site-library
bitops	1.0-9	/usr/local/lib/R/site-library
blob	1.3.0	/usr/local/lib/R/site-library
boot	1.3-32	/usr/local/lib/R/site-library
boot	1.3-32	/usr/local/lib/R/library
BPCells	0.3.1	/usr/local/lib/R/site-library
brew	1.0-10	/usr/local/lib/R/site-library
brio	1.1.5	/usr/local/lib/R/site-library
broom	1.0.13	/usr/local/lib/R/site-library
bslib	0.11.0	/usr/local/lib/R/site-library
cachem	1.1.0	/usr/local/lib/R/site-library
Cairo	1.7-0	/usr/local/lib/R/site-library
callr	3.7.6	/usr/local/lib/R/site-library
car	3.1-5	/usr/local/lib/R/site-library
carData	3.0-6	/usr/local/lib/R/site-library
caTools	1.18.3	/usr/local/lib/R/site-library
cellranger	1.1.0	/usr/local/lib/R/site-library
checkmate	2.3.4	/usr/local/lib/R/site-library
circlize	0.4.18	/usr/local/lib/R/site-library
class	7.3-23	/usr/local/lib/R/library
classInt	0.4-11	/usr/local/lib/R/site-library
cli	3.6.6	/usr/local/lib/R/site-library
clipr	0.8.1	/usr/local/lib/R/site-library
clue	0.3-68	/usr/local/lib/R/site-library
cluster	2.1.8.2	/usr/local/lib/R/library
clusterProfiler	4.18.4	/usr/local/lib/R/site-library
clustree	0.5.1	/usr/local/lib/R/site-library
codetools	0.2-20	/usr/local/lib/R/library
colorspace	2.1-2	/usr/local/lib/R/site-library
commonmark	2.0.0	/usr/local/lib/R/site-library
compiler	4.5.3	/usr/local/lib/R/library
ComplexHeatmap	2.26.1	/usr/local/lib/R/site-library
conflicted	1.2.0	/usr/local/lib/R/site-library
corrplot	0.95	/usr/local/lib/R/site-library
cowplot	1.2.0	/usr/local/lib/R/site-library
cpp11	0.5.5	/usr/local/lib/R/site-library
crayon	1.5.3	/usr/local/lib/R/site-library
credentials	2.0.3	/usr/local/lib/R/site-library
crosstalk	1.2.2	/usr/local/lib/R/site-library
